id|title|description|image|location|eventType|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated|subcategory|socialMedia|recurring|venueAccessibility|pronouns|ageRestriction|skillLevel|recurrenceType|recurrencePattern|specificDates|daysOfWeek|time|weekOfMonth
59|Lesbian Photography Club|Monthly photography walks and workshops|https://source.unsplash.com/random/?photography,lesbian|Various Toronto locations|community|2025-07-08|2026-04-08||3 hours|Photography walks, technique workshops - Second Wednesday each month 6PM|$15|https://lesbianhoto.ca|varies|varies|true|photography,lesbian,workshop,art|2025-07-05T17:07:00-04:00|workshop|"{""instagram"":""lesbianhoto""}"|true|varies by location|all|18+|All levels|recurring|Monthly||||
60|Queer Improv Comedy|Weekly improv comedy classes and shows|https://source.unsplash.com/random/?improv,queer|Bad Dog Theatre, 875 Bloor St W|performance|2025-07-09|2026-04-30||2 hours|Improv classes, shows, community - Wednesdays 8PM|$18|https://baddogtheatre.com|25 mins|N/A|true|improv,comedy,performance,theatre|2025-07-05T17:07:00-04:00|performance|"{""instagram"":""baddogtheatre""}"|true|wheelchair accessible|all|18+|All levels|recurring|Weekly||||
001|Mamma Mia Drag Brunch|A fantastic Mamma Mia-themed drag brunch with all the songs, delicious food, and fun drinks to party the afternoon away!||O'Grady's On Church, 518 Church St|community|drag|2025-07-05|2025-07-05|||Drag performances, brunch menu, themed drinks|$11.98|https://www.ogradyschurch.com||false|yes|drag,brunch,queer,party|2025-07-05T17:39:00-04:00|brunch|false||annual|Accessible|All levels|one-time|||||
002|Tales & Tease: Volume 1|An evening of magical narrative-driven burlesque acts followed by a dance afterparty at the iconic Tranzac Club.||Tranzac Club, 292 Brunswick Ave|community|culture|2025-07-05|2025-07-06|||Burlesque performances, dance party|$20 - 30|https://www.tranzac.org||false|yes|burlesque,queer,party,storytelling|2025-07-05T17:39:00-04:00|burlesque|false||annual|Accessible|All levels|one-time|||||
003|jockstrap|A queer party to squeeze the most out of summer at Black Eagle, a staple for the leather and bear community.||Black Eagle, 457 Church Street|community|party|2025-07-06|2025-07-06|||Queer party, dancing, community|$10 before 10:30pm, $15 after|https://www.blackeagletoronto.com||false|yes|party,queer,leather,bear|2025-07-05T17:39:00-04:00|nightlife|false||monthly|Accessible|All levels|one-time|||||
004|Surviving the Season: Stand Up Comedy Show|Sharp-witted comedians roast the chaos and toast the cheer of wedding season.||Imperial Pub, 54 Dundas St E|community|culture|2025-07-06|2025-07-06|||Stand-up comedy, queer comics|$11.98|||false|yes|comedy,queer,standup|2025-07-05T17:39:00-04:00|comedy|false||annual|Accessible|All levels|one-time|||||
005|"CHRISTIAN NIELSEN [Defected "|" Ellum]"|Dirty house set from Danish DJ Christian Nielsen.|||Wiggle Room, 772 Dundas St W|party|2025-07-06|2025-07-06T03:00|||House music, queer party|$20 - 25|https://wiggleroomtoronto.com/|false||yes|party,queer,house,music|2025-07-05T17:39:00-04:00|false|||annual|All levels|one-time|||||
006|Stitch & Bitch|Queer craft meetup, bring your own project.||Three Dollar Bill, 1592 Queen Street West|community|culture|2025-07-06|2025-07-06|||Crafting, social, queer meetup|Free|||false|yes|craft,queer,social|2025-07-05T17:39:00-04:00|craft|false||monthly|Accessible|All levels|one-time|||||
007|Parallel Play Day|Bring crafts, writing, homework, and good vibes.||Steadfast Brewing Co, 301 Lansdowne Ave|community|culture|2025-07-06|2025-07-07|||Crafting, social, queer meetup|Free|||false|yes|craft,queer,social|2025-07-05T17:39:00-04:00|craft|false||monthly|Accessible|All levels|one-time|||||
008|Yohomo X Promise Cherry Beach|Day and night queer beach party with DJs.||Cherry Beach, 1 Cherry Street|community|party|2025-07-06|2025-07-07|||Beach party, DJs, queer community|$32.30 - $50.55|https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html||false|yes|party,queer,beach,music|2025-07-05T17:39:00-04:00|outdoor|false||annual|Accessible|All levels|one-time|||||
009|Queer Self Defense|First aid, de-escalation, grab escapes and more.||Tallulah's Cabaret, 12 Alexander St|community|culture|2025-07-07|2025-07-07|||Self-defense, workshop, queer|PWYC|https://buddiesinbadtimes.com/tallulahs/||false|yes|workshop,queer,safety|2025-07-05T17:39:00-04:00|workshop|false||monthly|Accessible|All levels|one-time|||||first
010|Sunday SerVice: Cozmic Cat, Manzone & Strong, BlanchEcho, Don_Tay|Queer Sunday dance party.||Wiggle Room, 772 Dundas St W|community|party|2025-07-07|2025-07-07|||Dance party, queer DJs|$0 - 20|http://wiggleroomtoronto.com||false|yes|party,queer,dance|2025-07-05T17:39:00-04:00|nightlife|false||weekly|Accessible|All levels|one-time|||Sunday||
011|Pure Camp Presents: SUPERSEXE - FAIRIES|Ages 19+. Ethereal music, fantasy garden, drag.||See-Scape, 347 Keele St|community|party|2025-07-07|2025-07-07|||Drag, fantasy, queer party|$11.98+|https://www.seescapeto.com/||false|yes|party,queer,drag,fantasy|2025-07-05T17:39:00-04:00|nightlife|false||annual|Accessible|All levels|one-time|||||
012|Juicy Queer Night|Queer wine party.||Paradise Grapevine, 841 Bloor St W|community|party|2025-07-09|2025-07-09|||Wine, social, queer|No cover|https://www.paradisegrapevine.com/||false|yes|party,queer,wine|2025-07-05T17:39:00-04:00|social|false||monthly|Accessible|All levels|one-time|||||
013|Hillary Yaas' Miserable Old White Woman|One-woman drag show.||Comedy Bar Danforth, 2800 Danforth Avenue|community|drag|2025-07-09|2025-07-09|||Drag, comedy|PWYC|||false|yes|drag,comedy,queer|2025-07-05T17:39:00-04:00|theatre|false||annual|Accessible|All levels|one-time|||||
014|Queer Pool Night|Queer pool night, discounted tables.||The Rivoli, 334 Queen Street West|community|culture|2025-07-09|2025-07-10|||Pool, social, queer|$10|https://www.rivolitoronto.com/||false|yes|pool,queer,social|2025-07-05T17:39:00-04:00|nightlife|false||monthly|Accessible|All levels|one-time|||||
015|Drag Bingo w/Hillary Yaas|Fabulous night of Drag Bingo.||C.C's Bar and Grill, 1564 Danforth Ave|community|drag|2025-07-09|2025-07-10|||Drag, bingo, queer|$17.85|||false|yes|drag,bingo,queer|2025-07-05T17:39:00-04:00|game|false||monthly|Accessible|All levels|one-time|||||
016|Pickle Bingo|Pickles & Bingo, together at last!||Three Dollar Bill, 1592 Queen Street West|community|drag|2025-07-11|2025-07-11|||Drag, bingo, queer|Free entry|||false|yes|drag,bingo,queer|2025-07-05T17:39:00-04:00|game|false||monthly|Accessible|All levels|one-time|||||last
017|Trans Ball #1|Ball in hues of blue, white, or pink.||519 Community Centre, 519 Church Street|community|culture|2025-07-11|2025-07-12|||Ball, trans, queer|PWYC|https://www.the519.org||false|yes|ball,trans,queer|2025-07-05T17:39:00-04:00|ball|false||annual|Accessible|All levels|one-time|||||
018|Service|Queer party with guest performers and DJ.||Black Eagle, 457 Church Street|community|party|2025-07-12|2025-07-12|||Queer party, dancing|$10 before 10:30pm, $15 after|https://www.blackeagletoronto.com||false|yes|party,queer,nightlife|2025-07-05T17:39:00-04:00|nightlife|false||monthly|Accessible|All levels|one-time|||||
019|DISCOSTING!|Disco night with Toronto's elite disco daddies.||Three Dollar Bill, 1592 Queen Street West|community|party|2025-07-12|2025-07-12|||Disco, queer party|$11.30|||false|yes|party,queer,disco|2025-07-05T17:39:00-04:00|nightlife|false||annual|Accessible|All levels|one-time|||||
020|Mandatory Attention: A Newish Hour Served Hot + Fresh by Sam Sferrazza|Work-in-progress stand up show.||Comedy Bar, 945 Bloor Street W|community|culture|2025-07-12|2025-07-12|||Comedy, queer|$15|||false|yes|comedy,queer|2025-07-05T17:39:00-04:00|comedy|false||annual|Accessible|All levels|one-time|||||
021|Boyfriend Reveal 03: feat. Kai, Kuscheln|Queer party with underground DJs.||The Arch Cafe Bar, 293 Augusta Ave|community|party|2025-07-12|2025-07-12|||Queer party, DJs|$10 advance, $15 door|||false|yes|party,queer,music|2025-07-05T17:39:00-04:00|nightlife|false||monthly|Accessible|All levels|one-time|||||
022|Beach Day 4 The Dolls|Queer beach day, clothing optional.||Hanlan's Point Beach, Toronto Islands|community|culture|2025-07-12|2025-07-13|||Beach, social, queer|TBA|||false|yes|beach,queer,social|2025-07-05T17:39:00-04:00|outdoor|false||annual|Accessible|All levels|one-time|||||
023|Archiving Our Stories|Workshop for Queer, Trans, Black, Indigenous and People of Colour.||The ArQuives, 34 Isabella Street|community|culture|2025-07-12|2025-07-12|||Workshop, storytelling, queer|Free|||false|yes|workshop,queer,community|2025-07-05T17:39:00-04:00|workshop|false||annual|Accessible|All levels|one-time|||||
024|Queer Pilates Club Presents: Get Sweaty|Queer pilates session.||276 Carlaw Ave, Unit 305|community|culture|2025-07-12|2025-07-13|||Pilates, fitness, queer|TBA|||false|yes|fitness,queer,wellness|2025-07-05T17:39:00-04:00|wellness|false||monthly|Accessible|All levels|one-time|||||
025|Toronto 2SLGBTQIA+ Board Games Extravaganza|Queer inclusive game night.||Centre For Social Innovation, 720 Bathurst Street|community|culture|2025-07-13|2025-07-13|||Board games, social, queer|$5 at door|||false|yes|games,queer,social|2025-07-05T17:39:00-04:00|games|false||monthly|Accessible|All levels|one-time|||||
026|Balls Deep Disco|Queer disco party.||Black Eagle, 457 Church Street|community|party|2025-07-13|2025-07-13|||Disco, queer party, dancing|$10 before 10:30pm, $15 after|https://www.blackeagletoronto.com||false|yes|party,queer,disco|2025-07-05T17:39:00-04:00|nightlife|false||monthly|Accessible|All levels|one-time|||||
027|Love is a Temple|Dance to George Michael, Pet Shop Boys, Eurythmics.||Three Dollar Bill, 1592 Queen Street West|community|party|2025-07-13|2025-07-13|||Dance, queer party, 80s music|$10|||false|yes|party,queer,80s|2025-07-05T17:39:00-04:00|nightlife|false||annual|Accessible|All levels|one-time|||||
028|Beam Me Up|Disco night.||The Garrison, 1197 Dundas St W|community|party|2025-07-13|2025-07-13|||Disco, queer party|$15|||false|yes|party,queer,disco|2025-07-05T17:39:00-04:00|nightlife|false||annual|Accessible|All levels|one-time|||||
029|BARB-IE - A Nicki Minaj and Barbie Drag Bingo Brunch!|All ages drag bingo brunch.||Granite Brewery, 245 Eglinton Avenue East|community|drag|2025-07-13|2025-07-13|||Drag, bingo, brunch|$17.31|||false|yes|drag,bingo,brunch|2025-07-05T17:39:00-04:00|brunch|false||monthly|Accessible|All levels|one-time|||||
030|Drag Brunch Bingo|Wildest Drag Bingo Brunch in town.||Storm Crow Manor, 580 Church St|community|drag|2025-07-13|2025-07-13|||Drag, bingo, brunch|$42|https://www.stormcrow.com/||false|yes|drag,bingo,brunch|2025-07-05T17:39:00-04:00|brunch|false||monthly|Accessible|All levels|one-time|||||
031|Sunday SerVice: MANDIZ, Manzone & Strong, GEM, Nour|Queer Sunday dance party.||Wiggle Room, 772 Dundas St W|community|party|2025-07-14|2025-07-14|||Dance party, queer DJs|$0 - 20|http://wiggleroomtoronto.com||false|yes|party,queer,dance|2025-07-05T17:39:00-04:00|nightlife|false||weekly|Accessible|All levels|one-time|||Sunday||
032|DIY Chill Craft & Chat|Work on your DIY project with other Gaymers.||Hair of the Dog, 425 Church St|community|culture|2025-07-14|2025-07-15|||Crafting, social, queer|Free entry|https://hairofthedogpub.ca/||false|yes|craft,queer,social|2025-07-05T17:39:00-04:00|craft|false||monthly|Accessible|All levels|one-time|||||
033|Little Deaths Salon|Irreverent conversations about death and sex.||It's Ok Studios, 468 Queen St W|community|culture|2025-07-17|2025-07-18|||Salon, queer, sex-positive|Free (register)|||false|yes|salon,queer,sex|2025-07-05T17:39:00-04:00|salon|false||monthly|Accessible|All levels|one-time|||||
034|Queer Emo Nite TO V.14|Queer emo party, dancing, mosh pit.||DROM Taberna, 458 Queen Street West|community|party|2025-07-18|2025-07-18|||Emo music, queer party, dancing|$12.50 advance, $15 door|||false|yes|party,queer,emo,music|2025-07-05T17:39:00-04:00|nightlife|false||monthly|Accessible|All levels|one-time|||||
035|Grapefruit|Queer party with Annie Lennox theme.||Black Eagle, 457 Church Street|community|party|2025-07-20|2025-07-20|||Queer party, music|$10 before 10:30pm, $15 after|https://www.blackeagletoronto.com||false|yes|party,queer,music|2025-07-05T17:39:00-04:00|nightlife|false||monthly|Accessible|All levels|one-time|||||
036|Birthday Trio: TYLER HILL, FLIPSIDE, RANDOMDOUG|Birthday beats from Toronto's favourite DJs.||Wiggle Room, 772 Dundas St W|community|party|2025-07-20|2025-07-20|||Dance party, queer DJs|$15 - 20|http://wiggleroomtoronto.com||false|yes|party,queer,dance|2025-07-05T17:39:00-04:00|nightlife|false||annual|Accessible|All levels|one-time|||||
037|Y2GAY Drag Brunch|2000s themed drag brunch.||The Alpine, 2872 Dundas Street W|community|drag|2025-07-20|2025-07-20|||Drag, brunch, 2000s|$17.31|||false|yes|drag,brunch,queer|2025-07-05T17:39:00-04:00|brunch|false||monthly|Accessible|All levels|one-time|||||
038|Messy's Drag Bingo Brunch @ Sneaky Dee's|OG Drag Bingo Brunch in Toronto.||Sneaky Dee's, 431 College St|community|drag|2025-07-20|2025-07-20|||Drag, bingo, brunch|$12.96|||false|yes|drag,bingo,brunch|2025-07-05T17:39:00-04:00|brunch|false||monthly|Accessible|All levels|one-time|||||
039|FEELS Issue 24: Pride Launch Party!|Celebrate the 24th issue of FEELS.||Society Clubhouse, 967 College Street|community|culture|2025-07-20|2025-07-20|||Magazine launch, queer, social|PWYC|||false|yes|magazine,queer,social|2025-07-05T17:39:00-04:00|launch|false||annual|Accessible|All levels|one-time|||||
040|Promise Cherry Beach|Dance party at the beach.||Cherry Beach, 1 Cherry Street|community|party|2025-07-20|2025-07-21|||Dance, beach, queer|$32.30 - 50.55|https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html||false|yes|party,queer,beach|2025-07-05T17:39:00-04:00|outdoor|false||annual|Accessible|All levels|one-time|||||
041|Sunday SerVice: Chris Campos, Manzone & Strong, Sydney Sarayeva, DEXY|Queer Sunday dance party.||Wiggle Room, 772 Dundas St W|community|party|2025-07-21|2025-07-21|||Dance party, queer DJs|$0 - 20|http://wiggleroomtoronto.com||false|yes|party,queer,dance|2025-07-05T17:39:00-04:00|nightlife|false||weekly|Accessible|All levels|one-time|||Sunday||
042|QUEER EAST SOCIAL - Midsommar Garden Party|Inclusivity and representation for Queer & Trans orgs.||Café Zuzu, 555 Dundas Street East|community|culture|2025-07-24|2025-07-25|||Social, networking, community, garden party|$0 - 32.22|||false|yes|queer,trans,social,community|2025-07-05T17:39:00-04:00|social|false||annual|Accessible|All levels|one-time|||||
043|LANA DEL REY: SUMMER DANCE PARTY|Lana Del Rey themed dance party with special guests.||The Baby G, 1608 Dundas Street West|community|party|2025-07-26|2025-07-26|||Dance party, live performances, queer community|$15 advance|||false|yes|party,queer,dance,music|2025-07-05T17:39:00-04:00|nightlife|false||annual|Accessible|All levels|one-time|||||
044|Habibi Nights|Middle Eastern dance party, inclusive and queer.||The Rivoli, 334 Queen Street West|community|party|2025-07-26|2025-07-26|||Middle Eastern music, dance, queer community|$22.63|https://www.rivolitoronto.com/||false|yes|party,queer,middle-eastern,dance|2025-07-05T17:39:00-04:00|nightlife|false||monthly|Accessible|All levels|one-time|||||
045|Arde Lima (Lima is Burning)|Film screening about Peruvian drag queens.||Carlton Cinema, 20 Carlton St|community|culture|2025-07-27|2025-07-27|||Film, drag, queer|$10|||false|yes|film,drag,queer|2025-07-05T17:39:00-04:00|film|false||annual|Accessible|All levels|one-time|||||
046|BEE HIVE! A Beyoncé & The Bee Movie Drag Brunch|Beyoncé and Bee Movie themed drag brunch.||The Yorkville Royal Sonesta Hotel Toronto, 220 Bloor Street W|community|drag|2025-07-27|2025-07-27|||Drag, brunch, Beyoncé|$17.31+|||false|yes|drag,brunch,beyonce|2025-07-05T17:39:00-04:00|brunch|false||monthly|Accessible|All levels|one-time|||||
047|Messy's Drag Bingo @Left Field Brewery|Campy summer drag bingo.||Left Field Brewery, 40 Hanna Avenue #Suite G1|community|drag|2025-07-29|2025-07-30|||Drag, bingo, queer|$15.29|||false|yes|drag,bingo,queer|2025-07-05T17:39:00-04:00|game|false||monthly|Accessible|All levels|one-time|||||
048|Frat Haus: Evicted Event - Drag Theatrical Event|Drag theatre event about eviction.||Buddies in Bad Times, 12 Alexander St|community|drag|2025-07-03|2025-07-03|||Drag, theatre, queer|PWYC ($15 suggested)|||false|yes|drag,theatre,queer|2025-07-05T17:39:00-04:00|theatre|false||annual|Accessible|All levels|one-time|||||
049|Church-Wellesley Village Tour|Walking tour of 2SLGBTQIA+ history.||Church-Wellesley Village, starting at The ArQuives, 34 Isabella Street|community|tour|2025-07-15|2025-07-16|||Guided walking tour, LGBTQ+ history|Free|||false|yes|history,tour,queer,community|2025-07-05T17:39:00-04:00|history|false||monthly|Accessible|All levels|one-time|||||
051|Toronto Queer Swim Club|A welcoming swim club creating an empowering community within sport for trans and non-binary athletes to celebrate themselves and each other. Open water swims are held every Sunday morning at Cherry Beach during the summer, with all skill levels welcome. The club prioritizes safety, support, and inclusivity for queer, trans, and gender-diverse swimmers.||Cherry Beach, Toronto|community|sports|2025-07-06|2025-07-27|||Open water swim sessions, community building, skill development|Free|https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html||true|swim,queer,trans,non-binary,sports,community|2025-07-05T23:19:00-04:00|open water swim|@toqueer_swimclub|false|Accessible (beach access, no universal change rooms at location)|All|All ages|All levels|one-time|||Sunday||
