id,title,description,image,location,type,startDate,endDate,registrationDeadline,duration,activityDetails,cost,website,travelTime,googleMapLink,lgbtqFriendly,tags,lastUpdated,category,eventType,neighborhood,season,priceRange,source
ac478953_kensington,"Kensington Market Pedestrian Sundays (if continued in 2025)|Eclectic neighbourhood closes streets to cars on select Sundays, creating a vibrant street festival atmosphere.| |Kensington Market, Toronto|Community Event/Street Festival|All levels|Typically last Sunday of May-Oct (confirm 2025 schedule)| |N/A|Afternoon (e.g., 12 PM","7 PM)|Street performers, food vendors, artisan stalls, live music, car-free exploration of shops.|Free entry; cost of purchases| (Search ""Pedestrian Sundays Kensington Market"" or check kbia.ca for 2025 updates)|Kensington Market is central| | |street festival,community,market,kensington market,car free,summer,toronto|@kensingtonmarketbia (general BIA)| | |info@kbia.ca",https://source.unsplash.com/random/?Kensington%20Market%20Pedestrian%20Sundays%20(if%20continued%20in%202025)%7CEclectic%20neighbourhood%20closes%20streets%20to%20cars%20on%20select%20Sundays%2C%20creating%20a%20vibrant%20street%20festival%20atmosphere.%7C%20%7CKensington%20Market%2C%20Toronto%7CCommunity%20Event%2FStreet%20Festival%7CAll%20levels%7CTypically%20last%20Sunday%20of%20May-Oct%20(confirm%202025%20schedule)%7C%20%7CN%2FA%7CAfternoon%20(e.g.%2C%2012%20PM,loc1,cat1,,,,varies,"7 PM)|Street performers, food vendors, artisan stalls, live music, car-free exploration of shops.|Free entry; cost of purchases| (Search ""Pedestrian Sundays Kensington Market"" or check kbia.ca for 2025 updates)|Kensington Market is central| | |street festival,community,market,kensington market,car free,summer,toronto|@kensingtonmarketbia (general BIA)| | |info@kbia.ca",price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_outdoormov,"Outdoor Movies in Toronto Parks (e.g., Christie Pits Film Fest, Corktown Common, etc.)|Various parks host free outdoor movie screenings during summer evenings.| |Various parks (Christie Pits, Corktown Common, Trinity Bellwoods, etc.)|Community Event/Film/Entertainment|All levels|Typically June","August/September (check specific park/organizer schedules for 2025)| |N/A (free, often PWYC donations encouraged)|Evenings (at dusk)|Screenings of classic, cult, and contemporary films under the stars. Bring a blanket.|Free (donations welcome)|(Search ""Outdoor movies Toronto 2025"", ""Christie Pits Film Festival"", etc. for specific listings)|Various parks| | |outdoor movies,free movies,film screening,community event,summer,toronto| (Specific to each festival, e.g. @cpffest)| | | (Contact via specific festival websites)",https://source.unsplash.com/random/?Outdoor%20Movies%20in%20Toronto%20Parks%20(e.g.%2C%20Christie%20Pits%20Film%20Fest%2C%20Corktown%20Common%2C%20etc.)%7CVarious%20parks%20host%20free%20outdoor%20movie%20screenings%20during%20summer%20evenings.%7C%20%7CVarious%20parks%20(Christie%20Pits%2C%20Corktown%20Common%2C%20Trinity%20Bellwoods%2C%20etc.)%7CCommunity%20Event%2FFilm%2FEntertainment%7CAll%20levels%7CTypically%20June,loc1,cat1,,,,varies,"August/September (check specific park/organizer schedules for 2025)| |N/A (free, often PWYC donations encouraged)|Evenings (at dusk)|Screenings of classic, cult, and contemporary films under the stars. Bring a blanket.|Free (donations welcome)|(Search ""Outdoor movies Toronto 2025"", ""Christie Pits Film Festival"", etc. for specific listings)|Various parks| | |outdoor movies,free movies,film screening,community event,summer,toronto| (Specific to each festival, e.g. @cpffest)| | | (Contact via specific festival websites)",price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_waterfront,"Waterfront Artisan Market (WAM)|Open-air market at HTO Park featuring a curated selection of artisan crafts, food, and art.| |HTO Park, 339 Queens Quay W (check 2025 location/details)|Outdoor Market/Artisan/Shopping|All levels|Typically weekends May-Oct (check 2025 schedule)| |N/A (free entry)|Weekends, daytime hours|Handmade goods, unique crafts, art, gourmet food items from local artisans.|Free entry; cost of purchases| (Search ""Waterfront Artisan Market Toronto"" or check Waterfront BIA for 2025 updates)|Waterfront, central| | |artisan market,craft market,waterfront,shopping,outdoor market,summer,toronto|@mywaterfrontbia (organizer)| | | (via Waterfront BIA)",No description available,https://source.unsplash.com/random/?Waterfront%20Artisan%20Market%20(WAM)%7COpen-air%20market%20at%20HTO%20Park%20featuring%20a%20curated%20selection%20of%20artisan%20crafts%2C%20food%2C%20and%20art.%7C%20%7CHTO%20Park%2C%20339%20Queens%20Quay%20W%20(check%202025%20location%2Fdetails)%7COutdoor%20Market%2FArtisan%2FShopping%7CAll%20levels%7CTypically%20weekends%20May-Oct%20(check%202025%20schedule)%7C%20%7CN%2FA%20(free%20entry)%7CWeekends%2C%20daytime%20hours%7CHandmade%20goods%2C%20unique%20crafts%2C%20art%2C%20gourmet%20food%20items%20from%20local%20artisans.%7CFree%20entry%3B%20cost%20of%20purchases%7C%20(Search%20%22Waterfront%20Artisan%20Market%20Toronto%22%20or%20check%20Waterfront%20BIA%20for%202025%20updates)%7CWaterfront%2C%20central%7C%20%7C%20%7Cartisan%20market%2Ccraft%20market%2Cwaterfront%2Cshopping%2Coutdoor%20market%2Csummer%2Ctoronto%7C%40mywaterfrontbia%20(organizer)%7C%20%7C%20%7C%20(via%20Waterfront%20BIA),loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_torontobus,"Toronto BuskerFest (check 2025 organizer and dates)|International street performers festival. (Historically run by Epilepsy Toronto, location has varied e.g. Woodbine Park, Downtown Yonge. Confirm 2025 details.)| |Location varies (e.g., Woodbine Park, check 2025 updates)|Street Performance/Festival/Family|All levels|Typically Labour Day weekend (late Aug/early Sept) or other summer dates","check for 2025| |Donations to performers encouraged|3-4 days|Street theatre, comedy, music, magic, acrobatics from international buskers. Family-friendly.|Primarily by donation to performers (""pass the hat"")| (Search ""Toronto International BuskerFest"" for 2025 official site and organizer)|Varies| | |buskerfest,street performers,festival,family entertainment,summer,toronto| (Will depend on 2025 organizer)| | | (via official 2025 website)",https://source.unsplash.com/random/?Toronto%20BuskerFest%20(check%202025%20organizer%20and%20dates)%7CInternational%20street%20performers%20festival.%20(Historically%20run%20by%20Epilepsy%20Toronto%2C%20location%20has%20varied%20e.g.%20Woodbine%20Park%2C%20Downtown%20Yonge.%20Confirm%202025%20details.)%7C%20%7CLocation%20varies%20(e.g.%2C%20Woodbine%20Park%2C%20check%202025%20updates)%7CStreet%20Performance%2FFestival%2FFamily%7CAll%20levels%7CTypically%20Labour%20Day%20weekend%20(late%20Aug%2Fearly%20Sept)%20or%20other%20summer%20dates,loc1,cat1,,,,varies,"check for 2025| |Donations to performers encouraged|3-4 days|Street theatre, comedy, music, magic, acrobatics from international buskers. Family-friendly.|Primarily by donation to performers (""pass the hat"")| (Search ""Toronto International BuskerFest"" for 2025 official site and organizer)|Varies| | |buskerfest,street performers,festival,family entertainment,summer,toronto| (Will depend on 2025 organizer)| | | (via official 2025 website)",price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac564469_distillery,Distillery District Outdoor Markets / Events,"Historic district with cobblestone streets, artisan shops, galleries, restaurants. Often hosts seasonal outdoor markets, art shows, music.",https://source.unsplash.com/random/?Distillery%20District%20Outdoor%20Markets%20%2F%20Events,,,,,,varies,"Historic district with cobblestone streets, artisan shops, galleries, restaurants. Often hosts seasonal outdoor markets, art shows, music.",,https://www.thedistillerydistrict.com/,,,false,"market,arts,crafts,historic district,food,live music,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_kensington,Kensington Market Pedestrian Sundays (if continued in 2025),"Eclectic neighbourhood closes streets to cars on select Sundays, creating a vibrant street festival atmosphere.",https://source.unsplash.com/random/?Kensington%20Market%20Pedestrian%20Sundays%20(if%20continued%20in%202025),,,,,,varies,"Eclectic neighbourhood closes streets to cars on select Sundays, creating a vibrant street festival atmosphere.",," (Search ""Pedestrian Sundays Kensington Market"" or check kbia.ca for 2025 updates)",,,false,"street festival,community,market,kensington market,car free,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_stlawrence,St. Lawrence Market,"Historic public market with food vendors, artisans, and antique market on Sundays.",https://source.unsplash.com/random/?St.%20Lawrence%20Market,,,,,,varies,"Historic public market with food vendors, artisans, and antique market on Sundays.",,http://www.stlawrencemarket.com/,,,false,"market,food market,historic market,antique market,shopping,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_torontoout,Toronto Outdoor Art Fair (TOAF),Canada's largest and longest-running juried contemporary outdoor art fair.,https://source.unsplash.com/random/?Toronto%20Outdoor%20Art%20Fair%20(TOAF),,,,,,varies,Canada's largest and longest-running juried contemporary outdoor art fair.,,https://torontooutdoor.art/,,,false,"art fair,outdoor art,contemporary art,cultural event,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_luminatofe,Luminato Festival Toronto (if dates align with summer),"International multi-arts festival with theatre, dance, music, visual arts, and more, often with large-scale public art installations.",https://source.unsplash.com/random/?Luminato%20Festival%20Toronto%20(if%20dates%20align%20with%20summer),,,,,,varies,"International multi-arts festival with theatre, dance, music, visual arts, and more, often with large-scale public art installations.",,https://luminatofestival.com/,,,false,"arts festival,multi arts,cultural event,public art,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_torontoint,Toronto International Dragon Boat Race Festival,Large dragon boat festival with teams competing on Toronto's Centre Island.,https://source.unsplash.com/random/?Toronto%20International%20Dragon%20Boat%20Race%20Festival,,,,,,varies,Large dragon boat festival with teams competing on Toronto's Centre Island.,,https://dragonboats.com/ (or search Toronto International Dragon Boat Race Festival for official 2025 site),,,false,"dragon boat,festival,sports,cultural,community,toronto islands,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_tasteoflit,Taste of Little Italy (if scheduled for Summer 2025),"Street festival on College Street celebrating Italian culture, food, and music.",https://source.unsplash.com/random/?Taste%20of%20Little%20Italy%20(if%20scheduled%20for%20Summer%202025),,,,,,varies,"Street festival on College Street celebrating Italian culture, food, and music.",,https://tolittleitaly.com/taste-of-little-italy (check for 2025 updates),,,false,"street festival,food festival,italian culture,little italy,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_beachesint,Beaches International Jazz Festival,Large free jazz festival with performances in various locations in The Beaches neighbourhood.,https://source.unsplash.com/random/?Beaches%20International%20Jazz%20Festival,,,,,,varies,Large free jazz festival with performances in various locations in The Beaches neighbourhood.,,https://beachesjazz.com/,,,false,"jazz festival,music festival,free event,beaches,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_torontocar,Toronto Caribbean Carnival (formerly Caribana - Grand Parade Day & other events in summer),"Large festival celebrating Caribbean culture with music, dance, and a massive parade. (Grand Parade typically August long weekend; other events July/August)",https://source.unsplash.com/random/?Toronto%20Caribbean%20Carnival%20(formerly%20Caribana%20-%20Grand%20Parade%20Day%20%26%20other%20events%20in%20summer),,,,,,varies,"Large festival celebrating Caribbean culture with music, dance, and a massive parade. (Grand Parade typically August long weekend; other events July/August)",,https://www.torontocarnival.ca/ (check for official 2025 site),,,false,"caribbean carnival,caribana,parade,cultural festival,music,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_shakespear,Shakespeare in High Park (Canadian Stage),Outdoor theatre performances of Shakespeare plays in High Park Amphitheatre.,https://source.unsplash.com/random/?Shakespeare%20in%20High%20Park%20(Canadian%20Stage),,,,,,varies,Outdoor theatre performances of Shakespeare plays in High Park Amphitheatre.,,https://www.canadianstage.com/outdoors,,,false,"shakespeare,outdoor theatre,high park,cultural event,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_summerlici,Summerlicious / Winterlicious (City-run prix fixe food programs - Summerlicious for summer),City-wide culinary event where restaurants offer special prix fixe menus for lunch and dinner.,https://source.unsplash.com/random/?Summerlicious%20%2F%20Winterlicious%20(City-run%20prix%20fixe%20food%20programs%20-%20Summerlicious%20for%20summer),,,,,,varies,City-wide culinary event where restaurants offer special prix fixe menus for lunch and dinner.,,https://www.toronto.ca/explore-enjoy/festivals-events/licious/ (check for Summerlicious 2025 updates),,,false,"food festival,dining,restaurants,prix fixe,summerlicious,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_evergreenb,Evergreen Brick Works - Summer Markets & Events,"Former brick factory transformed into a community environmental centre with gardens, trails, and markets.",https://source.unsplash.com/random/?Evergreen%20Brick%20Works%20-%20Summer%20Markets%20%26%20Events,,,,,,varies,"Former brick factory transformed into a community environmental centre with gardens, trails, and markets.",,https://www.evergreen.ca/evergreen-brick-works/,,,false,"farmers market,community hub,environmental centre,workshops,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_torontofri,Toronto Fringe Festival (if dates align with summer),"Unjuried theatre festival featuring a wide variety of performances (drama, comedy, musical, improv, dance).",https://source.unsplash.com/random/?Toronto%20Fringe%20Festival%20(if%20dates%20align%20with%20summer),,,,,,varies,"Unjuried theatre festival featuring a wide variety of performances (drama, comedy, musical, improv, dance).",,https://fringetoronto.com/,,,false,"fringe festival,theatre festival,indie theatre,arts,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_openstreet,Open Streets TO (if continued in 2025),"Major city streets (e.g., Bloor, Yonge) are closed to cars for a day, encouraging walking, cycling, and community activities.",https://source.unsplash.com/random/?Open%20Streets%20TO%20(if%20continued%20in%202025),,,,,,varies,"Major city streets (e.g., Bloor, Yonge) are closed to cars for a day, encouraging walking, cycling, and community activities.",,https://www.openstreetsto.org/ (check for 2025 updates),,,false,"open streets,car free,community event,cycling,walking,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_pedalheads,Pedalheads Bike Camps / Programs,Summer bike camps and lessons for kids of various skill levels.,https://source.unsplash.com/random/?Pedalheads%20Bike%20Camps%20%2F%20Programs,,,,,,varies,Summer bike camps and lessons for kids of various skill levels.,,https://www.pedalheads.com/,,,false,"kids camp,cycling,bike lessons,summer camp,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_harbourfro,Harbourfront Centre Summer Programming,"Arts and cultural centre on the waterfront with frequent free festivals, concerts, workshops, and family activities throughout the summer.",https://source.unsplash.com/random/?Harbourfront%20Centre%20Summer%20Programming,,,,,,varies,"Arts and cultural centre on the waterfront with frequent free festivals, concerts, workshops, and family activities throughout the summer.",,https://harbourfrontcentre.com/,,,false,"harbourfront,free events,music festival,cultural festival,waterfront,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_outdoormov,"Outdoor Movies in Toronto Parks (e.g., Christie Pits Film Fest, Corktown Common, etc.)",Various parks host free outdoor movie screenings during summer evenings.,https://source.unsplash.com/random/?Outdoor%20Movies%20in%20Toronto%20Parks%20(e.g.%2C%20Christie%20Pits%20Film%20Fest%2C%20Corktown%20Common%2C%20etc.),,,,,,varies,Various parks host free outdoor movie screenings during summer evenings.,,"(Search ""Outdoor movies Toronto 2025"", ""Christie Pits Film Festival"", etc. for specific listings)",,,false,"outdoor movies,free movies,film screening,community event,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_torontopub,Toronto Public Library - Summer Programs & Workshops,"Offers a wide range of free programs for all ages, including author talks, workshops, kids' activities, tech classes.",https://source.unsplash.com/random/?Toronto%20Public%20Library%20-%20Summer%20Programs%20%26%20Workshops,,,,,,varies,"Offers a wide range of free programs for all ages, including author talks, workshops, kids' activities, tech classes.",,https://www.torontopubliclibrary.ca/programs-and-classes/,,,false,"library programs,free workshops,education,community,kids activities,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_thebentway,The Bentway - Summer Programming,"Public space under the Gardiner Expressway hosting art installations, performances, markets, and recreational activities.",https://source.unsplash.com/random/?The%20Bentway%20-%20Summer%20Programming,,,,,,varies,"Public space under the Gardiner Expressway hosting art installations, performances, markets, and recreational activities.",,https://www.thebentway.ca/,,,false,"public art,community space,urban park,summer events,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_torontoflo,Toronto Flower Market,"Outdoor market celebrating locally grown flowers and plants, featuring Ontario growers and florists.",https://source.unsplash.com/random/?Toronto%20Flower%20Market,,,,,,varies,"Outdoor market celebrating locally grown flowers and plants, featuring Ontario growers and florists.",,http://www.torontoflowermarket.ca/,,,false,"flower market,local flowers,plants,gardening,outdoor market,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_junctionsu,Junction Summer Solstice Festival (if continued in 2025),"Neighbourhood street festival celebrating the longest day of the year with music, art, food, and family activities.",https://source.unsplash.com/random/?Junction%20Summer%20Solstice%20Festival%20(if%20continued%20in%202025),,,,,,varies,"Neighbourhood street festival celebrating the longest day of the year with music, art, food, and family activities.",,"https://www.torontojunction.ca/junctionfest (check for updates, this link was for a previous iteration)",,,false,"street festival,community,summer solstice,junction,live music,art,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_salsaonstc,Salsa on St. Clair Street Festival,"Annual free Latino street festival featuring live music, dance lessons, Latin food, and cultural performances.",https://source.unsplash.com/random/?Salsa%20on%20St.%20Clair%20Street%20Festival,,,,,,varies,"Annual free Latino street festival featuring live music, dance lessons, Latin food, and cultural performances.",,https://www.salsaintoronto.com/salsa-on-st-clair/ (check for 2025 updates),,,false,"salsa festival,latin culture,street festival,music,dance,free event,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_torontofoo,Toronto Food Truck Festival (if scheduled for Summer 2025),Gathering of various food trucks offering diverse cuisines. Often held at Woodbine Park.,https://source.unsplash.com/random/?Toronto%20Food%20Truck%20Festival%20(if%20scheduled%20for%20Summer%202025),,,,,,varies,Gathering of various food trucks offering diverse cuisines. Often held at Woodbine Park.,,https://canadianfoodtruckfestivals.com/toronto/ (check for 2025 updates),,,false,"food truck festival,foodie,outdoor event,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_waterfront,Waterfront Artisan Market (WAM),"Open-air market at HTO Park featuring a curated selection of artisan crafts, food, and art.",https://source.unsplash.com/random/?Waterfront%20Artisan%20Market%20(WAM),,,,,,varies,"Open-air market at HTO Park featuring a curated selection of artisan crafts, food, and art.",," (Search ""Waterfront Artisan Market Toronto"" or check Waterfront BIA for 2025 updates)",,,false,"artisan market,craft market,waterfront,shopping,outdoor market,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_torontobus,Toronto BuskerFest (check 2025 organizer and dates),"International street performers festival. (Historically run by Epilepsy Toronto, location has varied e.g. Woodbine Park, Downtown Yonge. Confirm 2025 details.)",https://source.unsplash.com/random/?Toronto%20BuskerFest%20(check%202025%20organizer%20and%20dates),,,,,,varies,"International street performers festival. (Historically run by Epilepsy Toronto, location has varied e.g. Woodbine Park, Downtown Yonge. Confirm 2025 details.)",," (Search ""Toronto International BuskerFest"" for 2025 official site and organizer)",,,false,"buskerfest,street performers,festival,family entertainment,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_camptocity,"Camp T.O. (City of Toronto Parks, Forestry & Recreation Camps)","City-run summer day camps for children and youth with various themes (sports, arts, science, outdoor).",https://source.unsplash.com/random/?Camp%20T.O.%20(City%20of%20Toronto%20Parks%2C%20Forestry%20%26%20Recreation%20Camps),,,,,,varies,"City-run summer day camps for children and youth with various themes (sports, arts, science, outdoor).",,https://www.toronto.ca/explore-enjoy/recreation/campto/,,,false,"kids camp,summer camp,day camp,city of toronto,recreation,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_sundayanti,Sunday Antique Market (at St. Lawrence Market North Building - check status for 2025 during any ongoing renovations),"Weekly market featuring antiques, collectibles, vintage clothing, jewelry, and decor.",https://source.unsplash.com/random/?Sunday%20Antique%20Market%20(at%20St.%20Lawrence%20Market%20North%20Building%20-%20check%20status%20for%202025%20during%20any%20ongoing%20renovations),,,,,,varies,"Weekly market featuring antiques, collectibles, vintage clothing, jewelry, and decor.",,http://www.sundayantiquemarket.com/ (check for 2025 updates),,,false,"antique market,vintage,collectibles,shopping,sunday market,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_highparkzo,High Park Zoo,"Small, free zoo located within High Park, featuring domestic and wild animals like bison, deer, llamas, and peacocks.",https://source.unsplash.com/random/?High%20Park%20Zoo,,,,,,varies,"Small, free zoo located within High Park, featuring domestic and wild animals like bison, deer, llamas, and peacocks.",,https://highparktoronto.com/zoo/ or https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/zoos-farms/high-park-zoo/,,,false,"zoo,high park,free activity,family,animals,nature,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
ac564469_riverdalef,Riverdale Farm,"Working farm in Cabbagetown, showcasing farm animals and rural life in an urban setting.",https://source.unsplash.com/random/?Riverdale%20Farm,,,,,,varies,"Working farm in Cabbagetown, showcasing farm animals and rural life in an urban setting.",,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/zoos-farms/riverdale-farm/,,,false,"farm,riverdale farm,free activity,family,animals,cabbagetown,summer,toronto",2025-05-30T21:29:24.469Z,,activity,,year-round,varies,activity
se1,Classical Proms Evening,Elegant classical music concert,https://source.unsplash.com/random/?classical,"1 Austin Terrace, Toronto, ON M5R 1X8",Classical Music Concert,2025-06-02,2025-06-02,Not required,2-3 hours,Elegant classical music concert,$30-70+ CAD,https://casaloma.ca/events/symphony-in-the-gardens,"In-town (Casa Loma area, accessible by public transit)",N/A,true,"Classical,Music,Concert",2025-05-29T00:00:00Z,Classical Music Concert,special_event,"1 Austin Terrace, Toronto, ON M5R 1X8",year-round,varies,special_event
se2,Comedy Show Night,Improv/sketch comedy performance,https://source.unsplash.com/random/?comedy,"1 York St, Toronto, ON M5J 2P1",Comedy Performance,2025-06-03,2025-06-03,Not required,1.5-2 hours,Improv/sketch comedy performance,$25-40+ CAD,https://www.yukyuks.com/toronto,"In-town (Downtown Toronto, accessible by public transit)",N/A,true,"Comedy,Performance",2025-05-29T00:00:00Z,Comedy Performance,special_event,"1 York St, Toronto, ON M5J 2P1",year-round,varies,special_event
se3,Rivoli Live Music,Intimate indie music performance,https://source.unsplash.com/random/?livemusic,"334 Queen St W, Toronto, ON M5V 2A2",Live Music,2025-06-05,2025-06-05,Not required,2-3 hours,Intimate indie music performance,$15-30+ CAD,https://www.therivoli.ca,"In-town (Queen West, accessible by streetcar)",N/A,true,"Music,Live,Indie",2025-05-29T00:00:00Z,Live Music,special_event,"334 Queen St W, Toronto, ON M5V 2A2",year-round,varies,special_event
